NAME,MANUFACTURER,BRAND,SUFFIX,U_VALUE_W_M2K,G_VALUE,SOURCE,DATASHEET,LINK,COMMENTS
INTUS | 44.6_CG/10Ar/6T/12Ar/CG_6T,INTUS,44.6_CG/10Ar/6T/12Ar/CG_6T,,0.715,0.340,Manufacturer,Arverne - Building D.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/95ECxTAx17N_oC7Fud3hCA/yXG7DjOXql82xFlTJLiPhbXTTSi7CsoTk89TBheC1Lb7X6ts0ZhBld2opwIt5Guv8Ot1TW94WnZM2IIUNRUxCyjSPMzBweCfK3AKb2bnZxc-3GlkFAOPxbradZijHUb_cmXjmK7thoqz0Hs397_Wtx8lykjUTtyOdIacUIzyzcQ/EBtOgkamt0drTqAKZTRTa8Rpb7HC3V0MkfrIs9Aehac),,Arverne D
INTUS | Frit_4T4T.4_SN51/20Ar/4,INTUS,Frit_4T4T.4_SN51/20Ar/4,,1.060,0.265,Manufacturer,Intus- Double Glazed Window Elev.-1465 Bryant Ave Bronx NY 07-08-2025.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/7SmrNsHcb4t6lHjB2Du9kw/aA5UXiSMti_oOMkMUZDQTdZ5ypHA3XYV36J4ejH3WaK8kI_-FUJnKhPkCyTZB4OUuX50bn8sjX-JPArtERa7iECEXNPMZ5iCMuTD46FPUX9_RelJ7_liPHubUdBNY_Vwb_euN_6zm9ckHsWkKIgs1yTUiofHPb4cSRf5g_AfqMOu8U4kDh9eB6sLb_WjH2VXYXfgLFDeRBlM7R70VupGkwPKth3Ju_v3FyovrD8O8pQ/E2Hx90GFGO2squWN3w37pZ9o4TBnJqBOMuNMhVAbztM),,
INTUS | Frit_4T4T.6_CG/10Ar/6T/12Ar/CG_6T,INTUS,Frit_4T4T.6_CG/10Ar/6T/12Ar/CG_6T,,0.715,0.340,Manufacturer,Arverne - Building D.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/95ECxTAx17N_oC7Fud3hCA/yXG7DjOXql82xFlTJLiPhbXTTSi7CsoTk89TBheC1Lb7X6ts0ZhBld2opwIt5Guv8Ot1TW94WnZM2IIUNRUxCyjSPMzBweCfK3AKb2bnZxc-3GlkFAOPxbradZijHUb_cmXjmK7thoqz0Hs397_Wtx8lykjUTtyOdIacUIzyzcQ/EBtOgkamt0drTqAKZTRTa8Rpb7HC3V0MkfrIs9Aehac),,Arverne D
INTUS | LOUVER,INTUS,LOUVER,,1.000,0.000,Manufacturer,,,
Kawneer | GL-1,Kawneer,GL-1,,1.045,0.340,Manufacturer,Kawneer Glazing Types.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/xd2LBdLtI5LgEzssdzb_5g/U3Y4QBF8CAEkRKFLO1-LPQ3jmm3IkjBr8egbCFOOsv-7yJHP7LYDlnljvcLxL9lnABSHm5zLmxuABJTkEFprfewYKSOrZoW9S3v38HGYzLQPdRB5mvGzs_j-BtADX0vjeyYnFtx53N0GIr2i_WCrFcorMEjJ16HOp6K9iQMzj84/2pRZxZNvdSEi-_17vwvU63ElzSwekg-h81VeGX4aLXA),,
Kawneer | GL-1 | S,Kawneer,GL-1,S,1.045,0.340,Manufacturer,Kawneer Glazing Types.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/xd2LBdLtI5LgEzssdzb_5g/U3Y4QBF8CAEkRKFLO1-LPQ3jmm3IkjBr8egbCFOOsv-7yJHP7LYDlnljvcLxL9lnABSHm5zLmxuABJTkEFprfewYKSOrZoW9S3v38HGYzLQPdRB5mvGzs_j-BtADX0vjeyYnFtx53N0GIr2i_WCrFcorMEjJ16HOp6K9iQMzj84/2pRZxZNvdSEi-_17vwvU63ElzSwekg-h81VeGX4aLXA),,
Kawneer | GL-2 | T,Kawneer,GL-2,T,1.045,0.340,Manufacturer,Kawneer Glazing Types.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/xd2LBdLtI5LgEzssdzb_5g/U3Y4QBF8CAEkRKFLO1-LPQ3jmm3IkjBr8egbCFOOsv-7yJHP7LYDlnljvcLxL9lnABSHm5zLmxuABJTkEFprfewYKSOrZoW9S3v38HGYzLQPdRB5mvGzs_j-BtADX0vjeyYnFtx53N0GIr2i_WCrFcorMEjJ16HOp6K9iQMzj84/2pRZxZNvdSEi-_17vwvU63ElzSwekg-h81VeGX4aLXA),,
Kawneer | GL-3,Kawneer,GL-3,,1.045,0.280,Manufacturer,Kawneer Glazing Types.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/xd2LBdLtI5LgEzssdzb_5g/U3Y4QBF8CAEkRKFLO1-LPQ3jmm3IkjBr8egbCFOOsv-7yJHP7LYDlnljvcLxL9lnABSHm5zLmxuABJTkEFprfewYKSOrZoW9S3v38HGYzLQPdRB5mvGzs_j-BtADX0vjeyYnFtx53N0GIr2i_WCrFcorMEjJ16HOp6K9iQMzj84/2pRZxZNvdSEi-_17vwvU63ElzSwekg-h81VeGX4aLXA),,
Kawneer | GL-4,Kawneer,GL-4,,1.369,0.370,Manufacturer,Kawneer Glazing Types.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/xd2LBdLtI5LgEzssdzb_5g/U3Y4QBF8CAEkRKFLO1-LPQ3jmm3IkjBr8egbCFOOsv-7yJHP7LYDlnljvcLxL9lnABSHm5zLmxuABJTkEFprfewYKSOrZoW9S3v38HGYzLQPdRB5mvGzs_j-BtADX0vjeyYnFtx53N0GIr2i_WCrFcorMEjJ16HOp6K9iQMzj84/2pRZxZNvdSEi-_17vwvU63ElzSwekg-h81VeGX4aLXA),,
Kawneer | GL-4 | T,Kawneer,GL-4,T,1.391,0.370,Manufacturer,Kawneer Glazing Types.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/xd2LBdLtI5LgEzssdzb_5g/U3Y4QBF8CAEkRKFLO1-LPQ3jmm3IkjBr8egbCFOOsv-7yJHP7LYDlnljvcLxL9lnABSHm5zLmxuABJTkEFprfewYKSOrZoW9S3v38HGYzLQPdRB5mvGzs_j-BtADX0vjeyYnFtx53N0GIr2i_WCrFcorMEjJ16HOp6K9iQMzj84/2pRZxZNvdSEi-_17vwvU63ElzSwekg-h81VeGX4aLXA),,
Kawneer | GL-5 | L,Kawneer,GL-5,L,1.244,0.340,Manufacturer,Kawneer Glazing Types.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/xd2LBdLtI5LgEzssdzb_5g/U3Y4QBF8CAEkRKFLO1-LPQ3jmm3IkjBr8egbCFOOsv-7yJHP7LYDlnljvcLxL9lnABSHm5zLmxuABJTkEFprfewYKSOrZoW9S3v38HGYzLQPdRB5mvGzs_j-BtADX0vjeyYnFtx53N0GIr2i_WCrFcorMEjJ16HOp6K9iQMzj84/2pRZxZNvdSEi-_17vwvU63ElzSwekg-h81VeGX4aLXA),,
Lamilux | U-0.9 | Horizontal,Lamilux,U-0.9,Horizontal,0.900,0.270,Manufacturer,3-fach-62-29_SLT.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/3VGpop-gD5B2Ud6E_DzXCw/KhYWHz7k2HuJylC0pa5U4wwnMG3jY8YKiz9L3zgI0tJ88M4cqos1wyuw8dr7jvG-RnRUqHN5mwyjgAEdEoSWGBY9G6imIjh4dsi2v9Vtybet7d_hoL04tv54MbuxtfvloXYoT02rJecvtoHVCUY0ZFB2uvhElM1q0foEZ7H8Jaw/2RSoBA6CIrZzNbMPtWl1Yev2MI4zmd0SwFJdUHIZNjQ),,Note: U-horizontal
Lepage | 272-Arg-Cl-Arg-272,Lepage,272-Arg-Cl-Arg-272,,0.760,0.360,Manufacturer,unnamed.png (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/UU4aUHDdISREwFRhehtxEw/7nEj7Wi8LsmE7AfbxAr0yz1aQEXHMEfaMltUqMKu2GWpOrYO7TJutDNErIUJzH_4n5A0TNWhud4Xb4TJ3peygJbymTgzBc_VLXzhQI1tEW7LCLIeqmvAT58rLMRehCSuZVLHOiMtqkfWr5HoDlhbKeI9fZtGUpKuwb1S8KsJ9YE/WElZAX8-m8YJcwVkdDBWOvddXufc7TBKZNfspW5qZzc),https://www.lepagemillwork.com/en-us/,
Mercury | TRIO-E,Mercury,TRIO-E,,2.044,0.000,Manufacturer,AADSS1004541.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/qvsjJ8oVm8SGyy-s9qG4bw/Dl03MG9Gz6GY5uTKKyyIKpaLbcLM1m1aQcMUyK5vDWTL1S7_Qz6HKWphd27Vs2NR-yEjOFWUWQktdqO0nIQYSc4eYDYcLRvuZ0EIcBk1Z3FGy0vqov8dFF7_bJ9-wdSImvhj3Q8L1W2P0aK-8a9WkSHOVGhskLUSLMlODW3sBbE/yO-FdkhtozXoGpEGfERtacI9wfo7-q_3E0UNr2HrU5g),https://www.curries.com/en/products/doors/product-details.aehpdp-777e-series-trio-e-energy-efficient-steel-stiffened-door-door_group_curries_222082,
